skill,freq
salesforce,3
мобильная аналитика,3
контроль поставок,3
dax,3
интеграции,3
технические системы и средства безопасности,3
1с интеграция,3
логическое мышление,3
хранилища данных,3
регламентированный учет,3
оперативнй учет,3
игровая аналитика,3
составление семантического ядра,3
firebase analytics,3
data warehouse,3
тестирование на проникновение,3
анализ защищенности,3
security research,3
аналитика безопасности,3
iiko,3
уверенный пользователь пк,3
моделирование бизнес-процессов,3
нормативно-справочная информация,3
plm,3
sap co,3
мотивационные программы,3
application security,3
анализ защищенности приложений,3
мпс,3
написание sql-запросов,3
девелопмент,3
navision,3
работа с проблемными активами,3
altova,3
разработка финансовых моделей,3
кассовые операции,3
a/b тестирование,3
аренда недвижимости,3
qlik view,3
quality assurance analyst,3
information security & it compliance,3
isms,3
iso 27001,3
iso 20000,3
"itil, cobit",3
isae3402,3
postgressql,3
grafana,3
firebase,3
cawemo,3
бизнес-требования,3
торговые системы,3
сегментирование аудитории,3
clickhouse,3
проектирование зданий и сооружений,3
business process improvement,3
business process management,3
assembler,3
ida,3
ibm bpm,3
ideef,3
payroll,3
docker,3
продвинутый excel,3
знание методологии описания бизнес-процессов,3
comagic,3
сегментация рынка,3
аудит бизнес-процессов,3
настройка сетевых подключений,3
windows xp,3
работа на выставках,3
xsd/xml,3
data scientist,3
ms office visio,3
bootstrap,3
b2b,3
php+go,3
кибербезопасность,3
бт,3
sandbox,3
data quality,3
бизнес-процессы,3
ответственное хранение,3
проведение переговоров,3
business analyst,3
работа с претензиями,3
product marketing,3
дисциплированность,3
требовательность к себе и результату,3
готовность обучаться и развиваться,3
bi-системы,3
математическая модель,3
статистическая модель,3
умение вести переговоры,3
теория вероятностей,3
рмис,3
егисз,3
емиас,3
web-технологии,3
investment banking,3
devops,3
работа с дебиторской задолженностью,3
ux/ui-проектирование,3
регламентированный учет,3
внимательность,3
apache tomcat,3
jetty,3
junit,3
mockito,3
kubernetes,3
sales management,3
интеграция информационных систем,3
закупка продуктов питания,3
arm,3
управление требованиями заказчика,3
antifraud,3
management pmbok,3
data management,3
работа с текущей базой клиентов,3
системная аналитика,3
npv,3
irr,3
методология,3
sadt,3
xml/xsd,3
json-shema,3
serves desk,3
управление качеством данных,3
sap bo,3
стратегия развития,3
транспортная инфраструктура,3
асинхронное программирование,3
составление договоров,3
настройка пк,3
fintech,3
написание бизнес-требований,3
абс цфт-банк,3
абс цфт-ритейл банк,3
"t-sql, pl/sql, hql",3
методы статистического анализа,3
правила проведения a/b тестов,3
data lake,3
мобильный маркетинг,3
взаимодействие с разработчиками,3
pre sales,3
pmi,3
owasp,3
b2g исследования,3
конкурентный анализ,3
hr consulting,3
social media,3
медиа-мониторинг,3
forex,3
orientdb,3
wildfly,3
умение расставлять приоритеты,3
data mining: spss,3
документирование,3
oms,3
rest api,3
prototyping,3
скд,3
бсп,3
инвестиции,3
с++,3
web application development,3
усидчивость,3
цфт - ритейл банк,3
цфт - банк,3
математика,3
дашборды,3
gwt,3
mockup,3
etom,3
sid,3
network technologies,3
event management,3
revenue management,3
online charging,3
обработка данных,3
оцифровка данных,3
рыночные риски,3
деривативы,3
обучение пользователей,3
eepc,3
oracle primavera,3
проектно-конструкторская деятельность,3
skype,3
qort,3
отчётность цб,3
бит.финанс,3
цифровые продукты,3
впр,3
внедрение crm,3
r&d,3
pytho php,3
sap r/3,3
рза,3
знание устройств рза,3
навыки программирования,3
расчет уставок рза,3
арм срза,3
мэк 61850,3
hpe asset manager,3
sam,3
waterfall,3
google big query,3
медицинская статистика,3
умение выстраивать диалог,3
colvir,3
1с аналитик,3
openapi,3
мобильная разработка,3
написание технической документации,3
бгу,3
data scientist,3
внедрение,3
экономическая безопасность,3
проверка контрагентов,3
инженер,3
web,3
angular,3
use case,3
scade,3
rtos,3
осрв,3
интеграция,3
mathematical analysis,3
eps,3
целеустремленность,3
"разработка технических заданий, моделирование бизнес процессов, разработка проектной документации",3
аналитик данных,3
ms exchange,3
должностные инструкции,3
appsflyer,3
расчетно-кассовое обслуживание юридических лиц,3
построение архитектуры для directum,3
directum rx,3
недвижимость,3
1с: erp,3
avaya call management systems,3
voip,3
ids/ips,3
банк-клиент,3
дистрибуция,3
дистанционная работа,3
metabase,3
метрики,3
архивирование,3
внутренний аудит контекстной рекламы,3
mailchimp,3
оптимизация рекламных кампаний,3
ведение активных клиентов,3
анализ временных рядов,3
свободное владение английским языком,3
microsoft,3
блокчейн,3
retention rate,3
hypersonic sql,3
1с унф,3
agile scrum,3
матричное управление,3
техническое обслуживание,3
мерчандайзинг,3
iron python,3
командообразование,3
web,3
составление тз,3
sql-запросы,3
1с: ерп,3
бухгалтерия,3
turbo pascal,3
развитие продукта,3
коммерческая отчетность,3
операционная отчетность,3
методолог,3
1с: товары и средства,3
написание документации,3
seo-копирайтинг,3
формирование команды,3
hpe sm 9.х,3
micro focus service manager,3
hp ucmdb,3
hp am,3
hp bsm,3
hp cm,3
управление конфигурацией,3
подбор персонала,3
terradata,3
stata,3
имитационное моделирование,3
google ads,3
кросскомандное взаимодействие,3
marchine learning,3
ms dynamics,3
проектная работа,3
dashboard,3
финтех,3
fmcg,3
web сервисы,3
административное управление,3
"html, css, javascript,",3
supply chain optimisation,3
1с: предприятие: розница,3
figma,3
